Activation,Batch Size,Epochs,Train MSE,Train RMSE,Validation MSE,Validation RMSE
tanh,4,10,0.00653442507609725,0.08083579081135564,0.007521561812609434,0.08672693821765781
tanh,4,20,0.006178869865834713,0.07860578773751149,0.007327492348849773,0.0856007730622205
tanh,4,50,0.00612603360787034,0.0782689824123857,0.00721336342394352,0.08493152196883981
tanh,4,100,0.00590879749506712,0.0768687029620451,0.00707264756783843,0.08409903428600372
tanh,16,10,0.006542315240949392,0.08088457974762181,0.007559560239315033,0.08694573157616786
tanh,16,20,0.006179030518978834,0.07860680962218754,0.007326438557356596,0.08559461757234853
tanh,16,50,0.006031424272805452,0.07766224483496116,0.007146280258893967,0.084535674474709
tanh,16,100,0.005914576351642609,0.07690628291396359,0.007080877665430307,0.08414795104713071
tanh,32,10,0.006497367285192013,0.08060624842524314,0.007510869298130274,0.08666527158054876
tanh,32,20,0.0064773885533213615,0.08048222507685385,0.00747564435005188,0.08646180862121657
tanh,32,50,0.006034086924046278,0.07767938545100803,0.007151774130761623,0.08456816263087205
tanh,32,100,0.005968671757727861,0.07725717932805896,0.007106861565262079,0.08430220379837101
tanh,64,10,0.006502583157271147,0.08063859595299974,0.007487439084798098,0.08652998951114058
tanh,64,20,0.006482678931206465,0.08051508511581208,0.007470562122762203,0.0864324136118054
tanh,64,50,0.005997278727591038,0.0774420991941143,0.007137006614357233,0.08448080618908199
tanh,64,100,0.005899438634514809,0.07680780321370224,0.007078866474330425,0.08413599987122293
tanh,128,10,0.006505230441689491,0.08065500878240292,0.00753935519605875,0.08682946041556834
tanh,128,20,0.006477046757936478,0.08048010162727479,0.0074942163191735744,0.08656914184149901
tanh,128,50,0.006041210610419512,0.07772522505866106,0.007170436903834343,0.08467843234162016
tanh,128,100,0.005920697469264269,0.0769460685757516,0.0070850239135324955,0.08417258409679779
